id	OrderDate	id_Rep	id_Item	 Units Sold 
81	12-Aug-14	1	1	316
82	13-Aug-14	3	2	317
83	16-Aug-14	5	3	272
84	17-Aug-14	4	1	101
85	21-Aug-14	2	9	278
86	23-Aug-14	2	3	375
87	23-Aug-14	4	10	465
88	28-Aug-14	4	7	278
89	5-Sep-14	5	2	363
90	8-Sep-14	3	10	168
91	11-Sep-14	3	6	412
92	17-Sep-14	3	1	173
93	19-Sep-14	2	9	280
94	20-Sep-14	5	10	129
95	20-Sep-14	5	9	289
96	21-Sep-14	4	8	239
97	24-Sep-14	4	10	214
98	24-Sep-14	2	9	225
99	29-Sep-14	2	4	296
100	30-Sep-14	3	1	153
101	4-Oct-14	6	7	364
102	14-Oct-14	6	5	295
103	18-Oct-14	5	9	484
104	19-Oct-14	4	5	143
105	21-Oct-14	5	3	455
106	24-Oct-14	3	9	137
107	26-Oct-14	1	9	425
108	27-Oct-14	4	5	226
109	29-Oct-14	4	5	479
110	31-Oct-14	1	7	159
111	1-Nov-14	3	2	419
112	2-Nov-14	4	10	445
113	7-Nov-14	1	2	149
114	7-Nov-14	1	8	135
115	8-Nov-14	4	3	123
116	16-Nov-14	4	7	132
117	23-Nov-14	5	8	484
118	24-Nov-14	1	3	233
119	25-Nov-14	2	7	312
120	26-Nov-14	5	7	371
121	30-Nov-14	2	4	200
122	30-Nov-14	2	3	149
123	30-Nov-14	6	8	377
124	6-Dec-14	6	6	350
125	8-Dec-14	4	1	305
126	14-Dec-14	1	10	381
127	20-Dec-14	1	8	479
128	21-Dec-14	3	7	395
129	25-Dec-14	1	1	261
130	26-Dec-14	2	2	118
131	3-Jan-15	2	2	205
132	7-Jan-15	1	1	485
133	13-Jan-15	3	1	207
134	14-Jan-15	2	6	380
135	16-Jan-15	2	3	327
136	17-Jan-15	2	3	171
137	17-Jan-15	6	7	263
138	18-Jan-15	3	6	136
139	18-Jan-15	1	8	230
140	25-Jan-15	1	1	199
141	30-Jan-15	1	1	400
142	4-Feb-15	3	8	461
143	10-Feb-15	5	2	120
144	13-Feb-15	1	7	446
145	14-Feb-15	1	1	423
146	17-Feb-15	1	7	411
147	6-Mar-15	5	3	447
148	6-Mar-15	6	5	341
149	6-Mar-15	1	9	405
150	10-Mar-15	1	5	108
151	15-Mar-15	2	8	322
152	16-Mar-15	3	7	177
153	21-Mar-15	5	4	185
154	25-Mar-15	4	9	389
155	26-Mar-15	4	4	454
156	29-Mar-15	6	9	366
157	29-Mar-15	5	4	477
158	3-Apr-15	5	3	448
159	5-Apr-15	2	9	398
160	13-Apr-15	4	8	439
161	14-Apr-15	6	5	187
162	22-Apr-15	4	10	298
163	24-Apr-15	3	9	318
164	26-Apr-15	1	1	138
165	26-Apr-15	4	4	404
166	27-Apr-15	4	2	388
167	27-Apr-15	6	6	283
168	29-Apr-15	4	8	276
169	1-May-15	2	4	176
170	1-May-15	4	10	225
171	7-May-15	2	3	265
172	9-May-15	6	2	478
173	14-May-15	3	9	468
174	16-May-15	5	8	128
175	16-May-15	6	7	379
176	17-May-15	3	10	398
177	21-May-15	5	4	290
178	25-May-15	1	9	112
179	26-May-15	4	8	150
180	29-May-15	5	7	347
181	29-May-15	2	7	148
182	3-Jun-15	6	7	190
183	8-Jun-15	6	4	293
184	13-Jun-15	2	1	490
185	14-Jun-15	3	2	351
186	18-Jun-15	6	9	354
187	20-Jun-15	2	4	178
188	21-Jun-15	5	5	326
189	24-Jun-15	6	7	464
190	24-Jun-15	3	4	276
191	25-Jun-15	4	5	174
192	27-Jun-15	6	2	288
193	28-Jun-15	6	5	255
194	29-Jun-15	4	10	267
195	1-Jul-15	4	2	318
196	4-Jul-15	1	3	173
197	7-Jul-15	6	6	229
198	7-Jul-15	1	4	485
199	12-Jul-15	1	9	289
200	16-Jul-15	2	10	435
201	17-Jul-15	1	8	414
202	19-Jul-15	3	10	111
203	20-Jul-15	6	10	168
204	21-Jul-15	4	4	415
205	26-Jul-15	6	9	421
206	30-Jul-15	6	10	215
207	6-Aug-15	1	5	120
208	7-Aug-15	5	5	122
209	13-Aug-15	6	2	221
210	24-Aug-15	3	6	367
211	24-Aug-15	5	10	250
212	25-Aug-15	5	6	105
213	26-Aug-15	2	4	284
214	28-Aug-15	2	8	147
215	2-Sep-15	4	8	451
216	11-Sep-15	6	4	183
217	13-Sep-15	4	6	381
218	13-Sep-15	3	8	256
219	13-Sep-15	3	8	101
220	15-Sep-15	5	1	370
221	16-Sep-15	1	8	423
222	19-Sep-15	5	10	117
223	20-Sep-15	2	10	499
224	21-Sep-15	2	5	145
225	21-Sep-15	5	10	300
226	22-Sep-15	1	10	364
227	25-Sep-15	1	4	298
228	25-Sep-15	2	9	157
229	28-Sep-15	3	3	459
230	29-Sep-15	5	10	261
231	30-Sep-15	1	9	233
232	7-Oct-15	6	9	409
233	11-Oct-15	2	2	379
234	17-Oct-15	6	8	307
235	21-Oct-15	4	9	249
236	26-Oct-15	4	5	358
237	30-Oct-15	6	4	484
238	1-Nov-15	1	7	415
239	1-Nov-15	6	6	284
240	4-Nov-15	3	7	257
241	5-Nov-15	4	3	243
242	8-Nov-15	2	6	117
243	9-Nov-15	1	7	281
244	11-Nov-15	5	7	247
245	19-Nov-15	4	1	336
246	24-Nov-15	1	7	446
247	26-Nov-15	2	3	125
248	1-Dec-15	2	10	396
249	4-Dec-15	2	6	445
250	10-Dec-15	2	6	185
251	12-Dec-15	6	10	403
252	16-Dec-15	1	1	361
253	17-Dec-15	5	7	260
254	18-Dec-15	5	7	227
255	18-Dec-15	5	2	288
256	20-Dec-15	4	7	139
257	24-Dec-15	5	9	232
258	25-Dec-15	5	8	208
259	27-Dec-15	6	9	125
260	31-Dec-15	5	5	374
261	2-Jan-16	3	4	300
262	9-Jan-16	6	5	296
263	11-Jan-16	3	8	411
264	14-Jan-16	3	10	202
265	16-Jan-16	6	6	239
266	17-Jan-16	1	10	358
267	17-Jan-16	6	1	259
268	26-Jan-16	4	8	175
269	31-Jan-16	6	1	330
270	2-Feb-16	5	9	438
271	3-Feb-16	5	7	140
272	3-Feb-16	1	6	187
273	10-Feb-16	3	5	294
274	11-Feb-16	5	2	498
275	16-Feb-16	3	5	407
276	17-Feb-16	4	10	330
277	20-Feb-16	1	7	246
278	22-Feb-16	4	4	422
279	27-Feb-16	2	4	294
280	1-Mar-16	2	9	106
281	1-Mar-16	1	2	483
282	8-Mar-16	5	7	395
283	8-Mar-16	6	5	184
284	9-Mar-16	1	7	496
285	14-Mar-16	3	6	247
286	14-Mar-16	1	10	405
287	20-Mar-16	6	7	247
288	20-Mar-16	2	2	307
289	21-Mar-16	6	2	464
290	21-Mar-16	4	3	338
291	23-Mar-16	2	9	439
292	25-Mar-16	4	7	112
293	28-Mar-16	5	4	189
294	29-Mar-16	4	10	369
295	1-Apr-16	4	8	233
296	2-Apr-16	6	1	446
297	8-Apr-16	4	10	296
298	8-Apr-16	2	9	369
299	12-Apr-16	4	1	267
300	14-Apr-16	1	9	347
301	16-Apr-16	3	10	373
302	24-Apr-16	5	6	140
303	26-Apr-16	2	8	301
304	30-Apr-16	2	7	422
305	6-May-16	3	4	418
306	10-May-16	4	6	232
307	10-May-16	3	8	385
308	11-May-16	4	3	226
309	13-May-16	4	3	158
310	16-May-16	1	4	426
311	17-May-16	1	9	189
312	22-May-16	5	10	199
313	24-May-16	5	3	149
314	25-May-16	6	5	181
315	26-May-16	1	2	221
316	29-May-16	5	5	455
317	31-May-16	1	5	440
318	31-May-16	4	6	256
319	1-Jun-16	6	5	126
320	2-Jun-16	5	8	453
321	9-Jun-16	4	3	375
322	15-Jun-16	6	6	468
323	17-Jun-16	1	5	146
324	21-Jun-16	4	5	142
325	22-Jun-16	1	3	104
326	23-Jun-16	3	5	115
327	23-Jun-16	6	9	189
328	24-Jun-16	1	8	469
329	27-Jun-16	3	9	445
330	29-Jun-16	4	9	250
331	29-Jun-16	5	8	261
332	30-Jun-16	3	7	334
333	5-Jul-16	6	5	225
334	6-Jul-16	1	2	457
335	10-Jul-16	3	8	429
336	11-Jul-16	6	2	235
337	13-Jul-16	6	8	348
338	13-Jul-16	5	7	114
339	16-Jul-16	1	4	125
340	20-Jul-16	3	8	351
341	28-Jul-16	6	10	386
342	29-Jul-16	2	4	491
343	4-Aug-16	3	6	159
344	8-Aug-16	2	10	426
345	9-Aug-16	5	7	334
346	12-Aug-16	6	10	384
347	17-Aug-16	5	10	144
348	25-Aug-16	6	9	348
349	25-Aug-16	5	8	360
350	25-Aug-16	2	4	124
351	27-Aug-16	5	2	464
352	29-Aug-16	3	10	255
353	5-Sep-16	2	4	235
354	8-Sep-16	1	8	303
355	12-Sep-16	3	5	267
356	21-Sep-16	3	5	441
357	26-Sep-16	4	10	423
358	26-Sep-16	4	9	301
359	3-Oct-16	2	4	449
360	8-Oct-16	2	9	145
361	11-Oct-16	1	2	408
362	16-Oct-16	1	10	244
363	18-Oct-16	3	6	326
364	19-Oct-16	4	6	423
365	19-Oct-16	6	10	154
366	20-Oct-16	3	9	164
367	21-Oct-16	5	7	320
368	23-Oct-16	5	2	152
369	23-Oct-16	1	4	402
370	24-Oct-16	2	4	110
371	25-Oct-16	6	2	177
372	28-Oct-16	2	2	453
373	31-Oct-16	1	7	212
374	5-Nov-16	5	2	452
375	6-Nov-16	4	4	182
376	8-Nov-16	1	1	325
377	8-Nov-16	1	9	102
378	8-Nov-16	2	10	409
379	14-Nov-16	1	1	289
380	22-Nov-16	4	7	256
381	24-Nov-16	3	2	288
382	24-Nov-16	4	8	296
383	25-Nov-16	2	2	177
384	28-Nov-16	6	5	185
385	28-Nov-16	4	9	118
386	29-Nov-16	1	9	320
387	29-Nov-16	5	9	439
388	30-Nov-16	4	7	486
389	30-Nov-16	2	4	480
390	30-Nov-16	4	1	470
391	1-Dec-16	2	4	495
392	1-Dec-16	1	10	266
393	3-Dec-16	6	5	396
394	5-Dec-16	6	7	149
395	12-Dec-16	2	9	110
396	17-Dec-16	5	8	450
397	18-Dec-16	5	10	193
398	22-Dec-16	5	5	422
399	30-Dec-16	1	3	226
400	30-Dec-16	5	7	208
